id, category
0, 2
1, 2
2, 3
3, 3
4, 2
5, 2
6, 3
7, 2
8, 2
9, 0
10, 0
11, 3
12, 3
13, 3
14, 2
15, 0
16, 4
17, 3
18, 4
19, 3
20, 3
21, 2
22, 2
23, 2
24, 2
25, 2
26, 2
27, 3
28, 2
29, 2
30, 2
31, 2
32, 4
33, 2
34, 2
35, 1
36, 0
37, 2
38, 0
39, 2
40, 2
41, 2
42, 1
43, 1
44, 4
45, 1
46, 4
47, 1
48, 4
49, 2
50, 2
51, 1
52, 2
53, 4
54, 0
55, 2
56, 4
57, 4
58, 2
59, 2
60, 2
61, 0
62, 2
63, 2
64, 0
65, 2
66, 1
67, 3
68, 1
69, 2
70, 2
71, 3
72, 4
73, 2
74, 4
75, 0
76, 2
77, 2
78, 2
79, 3
80, 3
81, 4
82, 1
83, 4
84, 2
85, 4
86, 0
87, 4
88, 3
89, 3
90, 2
91, 0
92, 1
93, 0
94, 4
95, 4
96, 1
97, 3
98, 3
99, 4
100, 3
101, 0
102, 2
103, 4
104, 0
105, 3
106, 2
107, 1
108, 4
109, 2
110, 4
111, 3
112, 4
113, 0
114, 3
115, 4
116, 3
117, 1
118, 4
119, 0
120, 4
121, 2
122, 2
123, 1
124, 3
125, 4
126, 4
127, 4
128, 4
129, 4
130, 2
131, 0
132, 2
133, 2
134, 4
135, 2
136, 4
137, 3
138, 1
139, 2
140, 2
141, 4
142, 2
143, 2
144, 4
145, 3
146, 3
147, 3
148, 3
149, 2
150, 2
151, 0
152, 4
153, 2
154, 3
155, 4
156, 4
157, 2
158, 4
159, 1
160, 4
161, 4
162, 2
163, 2
164, 3
165, 4
166, 1
167, 2
168, 4
169, 3
170, 0
171, 4
172, 1
173, 0
174, 4
175, 0
176, 4
177, 2
178, 1
179, 4
180, 2
181, 4
182, 4
183, 4
184, 4
185, 3
186, 2
187, 0
188, 4
189, 3
190, 3
191, 0
192, 4
193, 4
194, 4
195, 3
196, 3
197, 1
198, 2
199, 4
200, 4
201, 2
202, 2
203, 2
204, 1
205, 2
206, 1
207, 2
208, 1
209, 2
210, 4
211, 2
212, 2
213, 4
214, 2
215, 0
216, 1
217, 4
218, 4
219, 2
220, 1
221, 1
222, 2
223, 4
224, 1
225, 3
226, 2
227, 2
228, 1
229, 3
230, 2
231, 2
232, 4
233, 2
234, 3
235, 4
236, 2
237, 1
238, 4
239, 3
240, 3
241, 2
242, 0
243, 0
244, 4
245, 2
246, 4
247, 1
248, 0
249, 2
250, 1
251, 0
252, 0
253, 1
254, 4
255, 2
256, 3
257, 4
258, 4
259, 4
260, 4
261, 1
262, 2
263, 2
264, 3
265, 3
266, 3
267, 2
268, 1
269, 2
270, 3
271, 3
272, 3
273, 2
274, 1
275, 3
276, 2
277, 4
278, 2
279, 4
280, 1
281, 4
282, 2
283, 3
284, 4
285, 2
286, 0
287, 3
288, 4
289, 2
290, 4
291, 3
292, 4
293, 0
294, 3
295, 0
296, 4
297, 2
298, 2
299, 2
300, 0
301, 2
302, 2
303, 4
304, 0
305, 2
306, 1
307, 3
308, 4
309, 4
310, 1
311, 3
312, 4
313, 2
314, 0
315, 1
316, 2
317, 2
318, 2
319, 4
320, 4
321, 3
322, 4
323, 4
324, 0
325, 4
326, 3
327, 3
328, 3
329, 2
330, 4
331, 1
332, 4
333, 4
334, 3
335, 3
336, 4
337, 4
338, 1
339, 1
340, 4
341, 4
342, 3
343, 2
344, 2
345, 1
346, 0
347, 0
348, 0
349, 1
350, 3
351, 3
352, 3
353, 2
354, 1
355, 4
356, 1
357, 3
358, 3
359, 1
360, 3
361, 2
362, 0
363, 4
364, 1
365, 4
366, 0
367, 4
368, 2
369, 4
370, 3
371, 4
372, 2
373, 1
374, 3
375, 0
376, 2
377, 3
378, 4
379, 2
380, 3
381, 4
382, 2
383, 4
384, 0
385, 3
386, 0
387, 4
388, 0
389, 2
390, 0
391, 4
392, 2
393, 4
394, 3
395, 2
396, 4
397, 4
398, 3
399, 4
400, 0
401, 0
402, 4
403, 2
404, 4
405, 4
406, 0
407, 3
408, 2
409, 4
410, 0
411, 4
412, 2
413, 3
414, 2
415, 0
416, 4
417, 3
418, 4
419, 0
420, 4
421, 2
422, 4
423, 3
424, 2
425, 4
426, 4
427, 2
428, 4
429, 0
430, 3
431, 4
432, 4
433, 0
434, 2
435, 4
436, 4
